2;49: 1
16_23_32_47;25_30_46_60: 1
16_23_32_47;25_60: 1
16_23_32_47;30_49_60_64: 1
16_23_32_50;3_25_54_60: 1
16_23_52_54;25_30_31_46: 1
16_24_25_30;32_45_51_58: 1
16_24_43_66;23_25_32_52: 1
16_25;32_33: 1
16_25_30_32;2_22_45_54: 1
16_25_30_32;2_37_54_63: 1
16_25_30_32;2_43_45_54: 1
16_25_30_32;23_47_54_58: 1
16_25_30_32;47_52_54_58: 1
16_25_30_32;47_54_64_66: 1
16_25_30_38;23_32_33_47: 1
16_25_30_38;23_32_47_66: 1
16_25_30_38;23_32_52_56: 1
16_25_30_38;23_32_52_60: 1
16_25_30_41;23_32_33_43: 1
16_25_30_41;23_32_33_52: 1
16_25_30_43;23_32_33_47: 1
16_25_30_43;32_42_47_56: 1
16_25_30_46;23_32_45_52: 1
16_25_30_46;23_32_52_60: 1
16_25_30_46;32_47_52_56: 1
16_25_30_48;23_32_52_60: 1
16_25_30_52;23_32_33_47: 1
16_25_31_32;3_26_30_38: 1
16_25_31_43;23_32_36_63: 1
16_25_32_43;2_23_39_41: 1
16_25_32_43;2_30_54_63: 1
16_25_32_43;2_37_54_63: 1
16_25_32_43;3_23_37_63: 1
16_25_32_43;27_30_55_57: 1
16_25_32_43;30_38_46_60: 1
16_25_32_43;30_46_52_60: 1
16_25_32_43;30_49_64_66: 1
16_25_32_43;47_52_54_58: 1
16_25_32_43;47_54_58_60: 1
16_25_32_47;3_6_52_58: 1
16_25_32_47;3_26_30_60: 1
16_25_32_47;27_54_55_57: 1
16_25_32_47;30_42_52_60: 1
16_25_32_47;30_46_49_60: 1
16_25_32_47;30_46_58_60: 1
16_25_32_52;2_30_45_47: 1
16_25_32_60;30_45_51_52: 2
16_25_43_46;23_30_32_37: 1
16_25_46_60;23_30_32_37: 1
16_25_47_64;23_32_52_60: 1
16_25_52_54;23_32_37_39: 1
16_25_54_58;32_45_51_52: 1
16_25_54_60;23_30_32_37: 1
16_26_30_43;23_25_32_52: 1
16_26_43_53;23_30_32_37: 1
16_27_37_51;33_34_49_66: 1
16_30_31_51;23_25_32_52: 1
16_30_31_60;25_32_38_58: 1
16_30_32_35;6_26_37_44: 1
16_30_32_38;2_43_54_63: 1
